Date,Microplastics (integer units; original pieces/mL × 100000000000),Concentration Class,pH,Turbidity (NTU),Size/Volume Ratio,Status
2023-01-01,381,Medium,7.78,11.2,0.93,OK
2023-01-02,951,High,6.67,90.4,1.47,Alert
2023-01-03,735,High,6.82,51.0,0.97,Alert
2023-01-04,603,Medium,8.3,82.8,0.53,OK
2023-01-05,164,Low,7.71,32.7,0.69,OK
2023-01-06,164,Low,6.52,89.7,2.36,OK
2023-01-07,68,Low,6.7,39.5,1.11,OK
2023-01-08,868,High,7.83,2.1,1.88,Alert
2023-01-09,605,Medium,6.51,90.6,2.57,OK
2023-01-10,711,High,6.82,10.0,3.48,Alert
2023-01-11,30,Low,7.6,32.6,0.29,OK
2023-01-12,970,High,7.88,95.1,4.02,Alert
2023-01-13,834,High,7.8,95.1,3.18,Alert
2023-01-14,220,Low,6.95,57.8,0.5,OK
2023-01-15,190,Low,7.92,63.6,4.38,OK
2023-01-16,192,Low,6.97,45.4,4.61,OK
2023-01-17,311,Medium,7.15,30.0,0.4,OK
2023-01-18,530,Medium,7.99,33.5,1.46,OK
2023-01-19,438,Medium,7.8,67.6,4.05,OK
2023-01-20,298,Low,8.2,75.5,3.77,OK
2023-01-21,616,Medium,7.82,79.4,1.0,OK
2023-01-22,148,Low,7.64,79.2,1.13,OK
2023-01-23,299,Low,6.69,10.0,1.92,OK
2023-01-24,373,Medium,7.24,49.9,2.47,OK
2023-01-25,462,Medium,7.03,6.7,3.13,OK
2023-01-26,787,High,6.99,55.4,1.91,Alert
2023-01-27,208,Low,8.45,44.7,2.37,OK
2023-01-28,519,Medium,7.29,88.9,3.76,OK
2023-01-29,596,Medium,8.28,35.7,0.28,OK
2023-01-30,56,Low,7.76,12.6,1.34,OK
2023-01-31,611,Medium,8.09,15.2,3.6,OK
2023-02-01,179,Low,7.51,76.4,4.49,OK
2023-02-02,74,Low,7.65,62.2,2.61,OK
2023-02-03,949,High,7.49,11.0,2.71,Alert
2023-02-04,966,High,6.89,9.3,0.63,Alert
2023-02-05,810,High,7.94,70.4,2.29,Alert
2023-02-06,312,Medium,7.06,8.2,2.71,OK
2023-02-07,107,Low,6.55,82.4,1.29,OK
2023-02-08,687,Medium,7.79,70.9,1.42,OK
2023-02-09,446,Medium,6.85,9.1,1.95,OK
2023-02-10,131,Low,8.38,9.4,0.2,OK
2023-02-11,500,Medium,8.41,98.7,1.68,OK
2023-02-12,44,Low,8.33,38.1,1.14,OK
2023-02-13,910,High,7.24,37.7,1.7,Alert
2023-02-14,266,Low,6.53,81.5,0.69,OK
2023-02-15,666,Medium,8.36,94.8,4.46,OK
2023-02-16,319,Medium,7.36,98.6,3.01,OK
2023-02-17,525,Medium,8.43,75.6,3.43,OK
2023-02-18,551,Medium,8.43,38.2,3.97,OK
2023-02-19,193,Low,8.21,9.3,2.54,OK
2023-02-20,970,High,7.09,77.9,0.53,Alert
2023-02-21,777,High,7.27,56.3,2.73,Alert
2023-02-22,940,High,8.2,43.0,2.98,Alert
2023-02-23,896,High,7.13,90.7,3.75,Alert
2023-02-24,602,Medium,6.84,12.0,2.22,OK
2023-02-25,923,High,7.61,49.8,0.73,Alert
2023-02-26,98,Low,8.37,2.1,1.49,OK
2023-02-27,204,Low,7.89,47.4,1.88,OK
2023-02-28,55,Low,7.64,6.6,3.26,OK
2023-03-01,332,Medium,6.69,12.8,2.9,OK
2023-03-02,395,Medium,7.73,12.6,1.84,OK
2023-03-03,279,Low,8.48,65.3,4.93,OK
2023-03-04,830,High,6.78,74.9,3.07,Alert
2023-03-05,363,Medium,7.54,58.8,1.26,OK
2023-03-06,288,Low,8.25,96.3,0.6,OK
2023-03-07,547,Medium,7.98,38.1,0.85,OK
2023-03-08,150,Low,7.89,29.3,1.31,OK
2023-03-09,804,High,7.9,87.0,0.89,Alert
2023-03-10,84,Low,7.22,23.1,1.01,OK
2023-03-11,987,High,7.09,96.4,1.5,Alert
2023-03-12,775,High,8.12,2.2,0.95,Alert
2023-03-13,207,Low,8.12,97.0,4.49,OK
2023-03-14,15,Low,8.23,5.3,0.49,OK
2023-03-15,817,High,8.33,89.2,2.67,Alert
2023-03-16,710,High,7.52,53.2,2.11,Alert
2023-03-17,732,High,7.5,99.3,4.91,Alert
2023-03-18,774,High,8.1,8.3,0.65,Alert
2023-03-19,83,Low,7.8,55.8,2.05,OK
2023-03-20,365,Medium,7.9,97.0,4.85,OK
2023-03-21,125,Low,8.09,52.8,4.34,OK
2023-03-22,864,High,8.28,63.3,4.1,Alert
2023-03-23,627,Medium,7.18,69.9,1.36,OK
2023-03-24,338,Medium,7.25,46.0,0.94,OK
2023-03-25,73,Low,6.69,63.1,3.38,OK
2023-03-26,318,Medium,7.66,58.8,4.65,OK
2023-03-27,332,Medium,6.57,90.2,2.83,OK
2023-03-28,732,High,7.43,5.5,2.9,Alert
2023-03-29,641,Medium,7.59,28.8,1.47,OK
2023-03-30,888,High,7.07,95.1,3.87,Alert
2023-03-31,477,Medium,7.68,89.1,1.02,OK
2023-04-01,128,Low,6.56,46.1,1.69,OK
2023-04-02,716,High,6.57,62.4,2.18,Alert
2023-04-03,763,High,8.15,28.5,2.59,Alert
2023-04-04,566,Medium,7.22,19.6,1.29,OK
2023-04-05,773,High,6.75,46.9,0.66,Alert
2023-04-06,499,Medium,7.54,36.0,3.09,OK
2023-04-07,528,Medium,8.04,58.8,1.51,OK
2023-04-08,433,Medium,6.93,8.7,2.95,OK
2023-04-09,35,Low,7.75,97.5,0.86,OK
2023-04-10,117,Low,6.67,98.6,2.46,OK
2023-04-11,41,Low,6.6,70.1,2.71,OK
2023-04-12,640,Medium,7.56,54.1,0.35,OK
2023-04-13,321,Medium,7.58,31.6,1.75,OK
2023-04-14,513,Medium,7.77,81.6,0.76,OK
2023-04-15,908,High,7.95,68.8,0.41,Alert
2023-04-16,257,Low,8.45,17.1,4.95,OK
2023-04-17,416,Medium,7.53,91.2,1.68,OK
2023-04-18,758,High,7.15,82.4,4.07,Alert
2023-04-19,237,Low,8.09,95.0,1.35,OK
2023-04-20,86,Low,7.04,72.8,3.44,OK
2023-04-21,297,Low,7.38,61.7,3.83,OK
2023-04-22,170,Low,6.66,42.4,3.02,OK
2023-04-23,930,High,6.55,93.3,2.41,Alert
2023-04-24,810,High,8.43,86.7,2.12,Alert
2023-04-25,637,Medium,8.17,5.5,1.81,OK
2023-04-26,873,High,7.89,3.6,4.65,Alert
2023-04-27,806,High,7.32,38.3,4.17,Alert
2023-04-28,195,Low,6.85,81.2,4.83,OK
2023-04-29,894,High,6.81,98.7,0.71,Alert
2023-04-30,544,Medium,7.0,15.9,3.68,OK
2023-05-01,809,High,7.6,59.8,4.7,Alert
2023-05-02,897,High,7.93,38.7,0.99,Alert
2023-05-03,325,Medium,7.82,97.0,0.43,OK
2023-05-04,119,Low,7.06,84.4,3.73,OK
2023-05-05,236,Low,8.41,84.0,2.91,OK
2023-05-06,433,Medium,7.98,47.4,4.22,OK
2023-05-07,820,High,7.61,42.1,0.78,Alert
2023-05-08,862,High,7.72,28.1,4.0,Alert
2023-05-09,17,Low,7.34,6.6,1.09,OK
2023-05-10,516,Medium,7.0,86.6,0.9,OK
2023-05-11,423,Medium,7.21,81.5,0.9,OK
2023-05-12,230,Low,8.02,100.0,4.09,OK
2023-05-13,129,Low,6.53,99.7,3.36,OK
2023-05-14,344,Medium,6.73,56.0,2.66,OK
2023-05-15,943,High,6.59,77.1,1.86,Alert
2023-05-16,330,Medium,6.58,94.5,4.4,OK
2023-05-17,524,Medium,8.21,85.1,2.02,OK
2023-05-18,706,High,7.91,25.5,4.1,Alert
2023-05-19,370,Medium,7.45,45.6,2.25,OK
2023-05-20,972,High,6.7,13.8,1.95,Alert
2023-05-21,963,High,7.48,95.5,2.37,Alert
2023-05-22,259,Low,7.45,61.0,1.58,OK
2023-05-23,502,Medium,6.85,23.6,3.76,OK
2023-05-24,308,Medium,7.37,67.5,2.56,OK
2023-05-25,292,Low,7.3,62.2,1.24,OK
2023-05-26,47,Low,7.73,36.5,4.51,OK
2023-05-27,613,Medium,7.77,12.2,1.98,OK
2023-05-28,508,Medium,6.59,67.5,2.76,OK
2023-05-29,61,Low,7.25,52.5,4.54,OK
2023-05-30,286,Low,7.75,77.5,3.16,OK
2023-05-31,909,High,7.51,52.5,0.67,Alert
2023-06-01,247,Low,8.21,85.4,4.71,OK
2023-06-02,153,Low,7.82,55.6,3.18,OK
2023-06-03,495,Medium,6.83,56.5,1.74,OK
2023-06-04,986,High,6.64,87.8,0.78,Alert
2023-06-05,250,Low,7.78,40.9,3.99,OK
2023-06-06,675,Medium,6.55,14.3,3.14,OK
